FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;AT;PC_GDP;OBJ01,0.047 ,0.055 ,0.035 ,0.045 ,0.031 ,0.036 ,0.047 ,0.005 ,0.018 ,0.062 ,0.038 ,0.036 ,0.039 ,0.026 ,0.022 ,0.01 ,0.007 ,0.007 
A;BE;PC_GDP;OBJ01,0 ,0.106 ,0.183 ,0.055 ,0.053 ,0.037 ,0.05 ,0.016 ,0.034 ,0.03 ,0.033 ,0.029 ,0.021 ,0.025 ,0.031 ,0.017 ,0.023 ,0.03 
A;BG;PC_GDP;OBJ01,0 ,0 ,0.09 ,0.131 ,0.091 ,0.067 ,0.083 ,0.05 ,0.014 ,0.043 ,0.015 ,0.033 ,0.038 ,0.062 ,0.323 ,0.427 ,0.155 ,0.267 
A;CY;PC_GDP;OBJ01,0.081 ,0.081 ,0.201 ,0.013 ,0.044 ,0.032 ,0.038 ,0.021 ,0.004 ,0.004 ,0.044 ,0.034 ,0.029 ,0.023 ,0.012 ,0.007 ,0.009 ,0 
A;CZ;PC_GDP;OBJ01,0.047 ,0.089 ,0.087 ,0.096 ,0.126 ,0.231 ,0.209 ,0.252 ,0.473 ,0.252 ,0.278 ,0.453 ,0.531 ,0.546 ,0.532 ,0.649 ,0.12 ,0.146 
A;DE;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EE;PC_GDP;OBJ01,0.029 ,0.036 ,0.059 ,0.014 ,0.027 ,0.022 ,0.015 ,0.013 ,0.005 ,0.008 ,0.014 ,0.048 ,0.099 ,0.091 ,0.186 ,0.153 ,0.016 ,0.038 
A;EL;PC_GDP;OBJ01,0.495 ,0.356 ,0.168 ,0.143 ,0.165 ,0.122 ,0.133 ,0.204 ,0.423 ,0.554 ,0.675 ,1.024 ,0.807 ,1.305 ,0.767 ,1.09 ,0.129 ,0.128 
A;ES;PC_GDP;OBJ01,0.122 ,0.126 ,0.139 ,0.133 ,0.114 ,0.121 ,0.124 ,0.126 ,0.156 ,0.108 ,0.099 ,0.071 ,0.057 ,0.087 ,0.083 ,0.03 ,0.02 ,0.017 
A;EU28;PC_GDP;OBJ01,0.097 ,0.085 ,0.098 ,0.086 ,0.078 ,0.079 ,0.085 ,0.076 ,0.101 ,0.13 ,0.111 ,0.1 ,0.092 ,0.096 ,0.105 ,0.077 ,0.057 ,0.065 
A;FI;PC_GDP;OBJ01,0.048 ,0.039 ,0.036 ,0.032 ,0.033 ,0.046 ,0.042 ,0.025 ,0.026 ,0.021 ,0.023 ,0.026 ,0.024 ,0.024 ,0.034 ,0.031 ,0.033 ,0.029 
A;FR;PC_GDP;OBJ01,0.069 ,0.04 ,0.061 ,0.051 ,0.052 ,0.085 ,0.101 ,0.133 ,0.158 ,0.219 ,0.212 ,0.168 ,0.145 ,0.136 ,0.139 ,0.135 ,0.136 ,0.124 
A;HR;PC_GDP;OBJ01,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.071 ,0.234 ,0.04 ,0.214 ,0.408 
A;HU;PC_GDP;OBJ01,0.204 ,0.24 ,0.26 ,0.279 ,0.225 ,0.296 ,0.28 ,0.201 ,0.297 ,0.363 ,0.288 ,0.238 ,0.275 ,0.314 ,0.795 ,0.385 ,0.67 ,0.712 
